推,噓,分數,作者,標題,時間
5,0,5,Ahhhhaaaa (果汁棒),Re,Sat May 30 03:57:47 2020
2,3,-1,crazystyle63 (中二的逆襲),[問卦] 幾點算太早，有迷有卦？,Sat May 30 10:57:51 2020
1,6,-5,twuuu (uuu),Re,Sat May 30 01:49:16 2020
5,0,5,wacer8486 (我有雞雞),[問卦] 在美國的黑人警察怎麼辦?,Sat May 30 10:53:59 2020
8,3,5,parttime (PTrrr),Re,Sat May 30 10:37:01 2020
10,2,8,spector66 (天氣預報),Re,Sat May 30 10:10:58 2020
4,2,2,Limitskyz (羅百告),[問卦] 有沒有蚊子沒腹部還可以活的掛,Sat May 30 06:16:21 2020
7,1,6,ph777 (松山韋禮安),[問卦] 台北市可舉辦室外運動會？,Sat May 30 08:40:33 2020
3,3,0,homerun2005 (ほめる),Re,Sat May 30 08:48:04 2020
12,16,-4,dog990999 (姆咪心動動),[新聞] 韓國瑜要市府學中國「溫暖的服務」 鄭照,Sat May 30 00:44:56 2020
5,1,4,copylong20 (卡比長),Re,Sat May 30 08:58:35 2020
17,4,13,gigikaka (Head to head),[問卦] 中國共產黨可信度多高？,Sat May 30 10:08:30 2020
0,0,0,Ifault (Not my fault),[問卦] 會有吃到飽只有一個客人的嗎？,Sat May 30 11:07:55 2020
2,0,2,B9830226 (czcchi),[問卦] 虎王為何美國人只敢罵卡羅,Sat May 30 10:52:05 2020
11,0,11,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 哪首歌可以當地球的「球歌」來代表人類？,Sat May 30 09:42:37 2020
29,20,9,Amygo (心在何方),[問卦] 撐香港怎麼香港更慘了？,Sat May 30 09:40:51 2020
3,1,2,science9686 (科學 = 真理),[新聞] HTC VIVE 助攻消防員培訓再升級,Sat May 30 09:07:21 2020
4,3,1,d995511 (flcl),[問卦] 人身上毛越多越是原始麻？？,Sat May 30 10:20:11 2020
4,0,4,Phimosis373 (兄ㄉㄟˇ先來碗大食客),[問卦] 美少女萬華鏡完結了..,Sat May 30 10:44:52 2020
5,3,2,SigmundFreud (西格蒙德．佛洛伊德),Re,Sat May 30 08:08:21 2020
40,24,16,ivorysoap (ivorysoap),[問卦] 香港人知道香港人的形象在華人圈不好嗎?,Sat May 30 09:57:32 2020
14,2,12,odd5566 (歐底迪),[問卦] 一大早就想做愛怎麼辦?,Sat May 30 06:00:18 2020
2,0,2,OfficeGL (妤欣),[問卦] 有金正恩的八卦嗎,Sat May 30 10:36:28 2020
10,2,8,bowenhp1234 (深夜美食家),[問卦] 被隔夜的奶油沾到會怎樣？,Sat May 30 10:24:30 2020
4,0,4,Nodens (大車駕訓班 榮譽教練),[問卦] 年輕人買不起房 多的錢要幹麻？,Sat May 30 02:36:39 2020
0,0,0,STAV72 (刁民黨黨務主委),[爆卦] 宜城市臺商翻牆求救，要救嗎？,Sat May 30 11:05:06 2020
8,2,6,stw0975 (      ),[新聞] 遭周玉蔻稱為頂新「門神」　羅智強求償千,Sat May 30 10:39:49 2020
105,24,81,akway (生活就是要快樂),[新聞] 14億元改建 大龍國宅竟是漏水屋,Sat May 30 09:46:38 2020
24,11,13,jajujo (尚未通過認證),[問卦] 為什麼美國這麼沒有國際觀,Sat May 30 05:07:32 2020
4,2,2,email9527 (想也知道),[問卦] 通姦民事要賠多少才合理,Sat May 30 10:53:28 2020
28,9,19,skn60694 (入聲),[新聞] 呂忠吉辦趴判賠717萬…400多人「百億求償,Sat May 30 10:39:11 2020
3,2,1,gracew0709 (succinyl choline),Re,Sat May 30 02:36:52 2020
11,6,5,Savior09 (Sakana Mazui),[問卦] 美國是不是說話越來越沒份量了?,Sat May 30 00:53:23 2020
2,1,1,SammySosa (我沒用禁藥),[新聞] 就業協助遭疑排擠中高齡 勞動部：都積極,Sat May 30 02:58:14 2020
0,3,-3,ti1990 (hohoho),[問卦] 半夜頭痛怎辦?,Sat May 30 03:42:30 2020
7,3,4,john22088 (銅鑼灣扛報紙),[問卦] 加油講電話到底為什麼會爆炸?,Sat May 30 09:33:10 2020
3,2,1,Hyver (喝杯開水說說話),[問卦] 文蛤想加辣,Sat May 30 09:58:36 2020
3,6,-3,syearth (sysearth),[問卦] 二二八 484跟美國黑人暴動差不多嗎?,Sat May 30 02:40:47 2020
5,0,5,ME13 (小鳥),[問卦] 金城武發過早安圖嗎？,Sat May 30 07:59:25 2020
3,6,-3,secretfly (☠鬼滅· 之喵喵),Re,Sat May 30 09:58:54 2020
10,1,9,ytkuang (就是那個光),[新聞] 「您吃肉我吸油煙」BBQ名店判搬離社區,Sat May 30 10:51:10 2020
5,1,4,eddisontw (沙丘),"[爆卦] 巴西確診人數達到444,444",Sat May 30 01:13:05 2020
10,0,10,e741000 (複利葉。腹便。幫浦拉絲),[問卦] 要開ww3了嗎,Sat May 30 07:17:44 2020
10,4,6,XXXXOAY (台中金城武),[問卦] 解放軍實力會不會跟中國武術一樣？,Sat May 30 09:43:01 2020
2,0,2,kinjk01 (小白),[問卦] 學校越貴品質越好？,Sat May 30 01:55:22 2020
7,2,5,chosenone (獲選者),Re,Sat May 30 07:30:24 2020
1,0,1,sanshin (三振),Re,Sat May 30 11:05:47 2020
11,6,5,DaGoDa (大哥大),[問卦] 台南沒有捷運為何是直轄市？,Sat May 30 10:07:45 2020
2,0,2,JyumonjiKaho (十文字かほ),[新聞] ICC同意 象牙海岸前強人巴波有條件離開比,Sat May 30 07:53:49 2020
5,1,4,zoeforce (呼呼呼嘩哈哈哈),Re,Sat May 30 07:52:02 2020
7,3,4,mongi (大體老屍),[問卦] 單吃鍋底不點菜可以嗎,Sat May 30 10:13:01 2020
3,2,1,PaulDavis (Paul Davis),[爆卦] NBA 7月31日 重新開賽,Sat May 30 03:25:07 2020
219,40,179,tenching (佳釀),[問卦] 一直被嗆台灣好打 該怎麼嗆回,Sat May 30 08:46:17 2020
16,2,14,jason851124 (YeeeEX),[問卦] 你們還背的出那些唐詩?,Sat May 30 10:56:58 2020
169,49,120,,,
10,6,4,haydenhhh (你才臭肥宅),[問卦] 我今天的早餐,Sat May 30 07:14:56 2020
16,2,14,bluebluelan (白魚挺粗強貝柱連根立),[問卦] 香港變成中國的一部份 港式燒臘會消失嗎?,Sat May 30 10:09:17 2020
9,1,8,badjye911 (阿三),[問卦] 價值觀不同在一起好像滿痛苦的？,Sat May 30 10:21:26 2020
5,4,1,oz5566 (威廉。霍恩索倫),Re,Sat May 30 10:00:47 2020
25,1,24,wwwaa1217 (Rwei),[新聞] SpaceX火箭「星艦」測試失敗 原型機爆炸,Sat May 30 10:07:28 2020
2,1,1,A6 (短ID真好),[問卦] 有沒有美國手語的八卦,Sat May 30 04:12:11 2020
8,18,-10,tsukiji (大司壽),[新聞] 支持通姦除罪！美女名醫：關得住男人生,Sat May 30 07:55:52 2020
8,0,8,taiwanesgoi (taiwanesgoi),[問卦] 孤男寡女共處一室有可能只吃蛋撻配奶茶,Sat May 30 02:49:42 2020
1,0,1,CuLiZn5566 (同理心5566),Re,Sat May 30 04:30:42 2020
15,1,14,ccrlovesuck (大奶頭),Fw,Sat May 30 10:21:48 2020
3,1,2,Paravion (ElonMusk),[問卦] 已經整晚沒睡了要睡嗎,Sat May 30 08:48:59 2020
24,8,16,Dinenger (低能兒),[問卦] 練太壯真的沒有比較強啊,Sat May 30 01:18:56 2020
11,7,4,yuponkimo (皇甫尊),[問卦] 有沒有台大碩班備取進度的卦,Sat May 30 09:17:04 2020
730,14,716,cowbay5566 (靠北5566),[爆卦] 美國要退出WHO啦,Sat May 30 03:07:45 2020
150,19,131,SkiCule (Manto),[爆卦] 美國決定離開WHO了,Sat May 30 03:06:07 2020
0,0,0,askw68666 (奶茶蛤蜊戚風),[問卦] 台灣人也能喊乳滑嗎,Sat May 30 11:04:39 2020
6,3,3,ArimuraChika (有村千佳),[問卦] 機車行老闆說確定要修才拆引擎檢查?,Sat May 30 03:20:55 2020
1,1,0,asdfg012345 (Vicious circle),[問卦] 工具人死活關我們屁事☺,Sat May 30 09:58:01 2020
3,2,1,mefifthfloor (新莊王小姐),[問卦] 悲憤！！LINE搖一搖功能消失了¤,Sat May 30 07:04:51 2020
